"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","CTYUN客户控制台,统计分析-热门分析接口测试","查询今天的TOP客户端IP","0","1","0","0","0"
"","CTYUN 客户控制台,统计分析-用量查询接口测试"," dataList 接口1,默认数据对比","0","1","0","0","0"
"","BS 客户控制台,统计分析-用量查询接口测试"," dataList 接口1","0","0","10","0","0"
"","CTYUN客户控制台计费详情模块","flowpacket/ListV3 查all","1","0","0","0","0"
"","BS 客户控制台刷新预取页接口测试","CreateRefreshTask,刷新大量目录 ","1","0","0","0","0"
"","VIP客户 用户用量查询 接口测试"," 静态加速产品查询 用户运营商分析数据","0","0","1","0","0"
"","VIP客户控制台,统计分析-用量查询接口测试"," missDataList 默认数据对比","0","0","1","0","0"
"","客户控制台v1接口域名接口测试","已启用状态域名，不能再次启用域名","0","0","1","0","0"
"","CTYUN 客户控制台,统计分析-用量查询接口测试"," missDataList 默认数据对比","0","1","0","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","访问次数维度查询TOP客户端IP","0","0","1","0","0"
"","VIP客户控制台,工单列表接口测试","通过域名查询工单","0","0","1","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","访问次数维度查询域名排行","0","1","0","0","0"
"","VIP客户控制台,统计分析-用量查询接口测试"," httpcode_url 接口1","0","0","10","0","0"
"","BS 客户控制台,统计分析-用量查询接口测试"," req_url 接口1","0","0","10","0","0"
"","BS客户控制台,工单列表接口测试","域名与工单关联，新增域名，查找新增工单","0","0","1","0","0"
"","客户控制台v1接口域名接口测试","域名新增-配置成功-域名启用-编辑-配置失败-域名启用","1","0","0","0","0"
"","CTYUN 客户控制台,统计分析-用量查询接口测试"," hit_url 接口1","0","10","0","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","视频直播加速产品下查询热门URL","0","1","0","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","视频直播加速产品下查询Referer","0","1","0","0","0"
"","BS 客户控制台诊断工具页接口测试","diagnose/IpCheck 接口1","0","0","1","0","0"
"","VIP客户控制台,统计分析-用量查询接口测试"," GetPvUv 接口1 查询近7天的PV/UV","0","0","1","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","视频直播加速产品下查询域名排行","0","1","0","0","0"
"","客户控制台v1接口证书接口测试","","0","0","6","0","0"
"","CTYUN 客户控制台-证书模块","创建过期的证书","1","0","0","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","查询今天的域名排行","0","1","0","0","0"
"","CTYUN 客户控制台 用户用量查询接口测试"," 视频点播产品查询 用户运营商分析数据","0","1","0","0","0"
"","BS 客户控制台,统计分析-用量查询接口测试"," missDataList 接口1","0","0","10","0","0"
"","CTYUN客户控制台,工单列表接口测试","查看工单详情","0","1","0","0","0"
"","BS 客户控制台,统计分析-用量查询接口测试"," httpcode_url 接口1","0","0","10","0","0"
"","CTYUN客户控制台计费详情模块","/cdn/gw/flowpacket/ChangeV3 接口,修改一次","0","1","0","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","视频点播加速产品下查询热门URL","0","0","1","0","0"
"","BS 客户控制台用户分析模块"," 静态加速产品查询 用户运营商分析数据","0","0","1","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","静态加速产品下查询热门URL","0","0","1","0","0"
"","BS 客户控制台 计费详情页接口测试","flowpacket/HistoryV3 接口","0","0","1","0","0"
"","VIP客户控制台概览页接口测试","domain/GetList接口2,返回与1一样","0","0","1","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","状态码查询热门URL","0","0","1","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","静态加速产品下查询热门URL","0","0","1","0","0"
"","CTYUN 客户控制台,统计分析-用量查询接口测试"," req_url 接口1","0","10","0","0","0"
"","域名流程测试","CDN客户控制台域名测试，只是新增","0","0","1","0","0"
"","BS 客户控制台 计费详情页接口测试","flowpacket/ListV3 查all","0","0","1","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","访问次数维度查询域名排行","0","0","1","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","查询30天的域名排行","0","0","1","0","0"
"","CTYUN 客户控制台,统计分析-用量查询接口测试"," dataList 接口1","0","9","0","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","视频点播加速产品下查询热门URL(回源)","0","0","1","0","0"
"","BS 客户控制台刷新预取页接口测试","refresh/ListRefreshTask 接口2","1","0","0","0","0"
"","VIP客户控制台刷新预取页接口测试","CreateRefreshTask 刷没有操作权限的URL","0","0","1","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","默认查询热门Referer","0","0","1","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","查询今天的热门URL","0","1","0","0","0"
"","BS 客户控制台,统计分析-用量查询接口测试"," GetPvUv 接口1 默认数据查询","0","0","1","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","状态码查询热门URL","0","0","1","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","默认查询TOP客户端IP","0","1","0","0","0"
"","BS 客户控制台,统计分析-用量查询接口测试"," hit_url 接口1","0","0","10","0","0"
"","VIP客户控制台诊断工具页接口测试","flowpacket/ListV3 接口1","0","0","1","0","0"
"","CTYUN 客户控制台,统计分析-用量查询接口测试"," httpcode_url 接口1","0","10","0","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","默认查询热门URL","0","1","0","0","0"
"","VIP客户控制台,统计分析-用量查询接口测试"," missDataList 接口1","0","0","10","0","0"
"","客户控制台v1接口域名接口测试","新增全量字段域名","0","0","1","0","0"
"","VIP客户控制台,统计分析-用量查询接口测试"," hit_url 接口1","0","0","10","0","0"
"","VIP客户控制台,统计分析-用量查询接口测试"," GetPvUv 接口1 默认数据查询","0","0","1","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","访问次数维度查询热门URL","0","1","0","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","访问次数维度查询热门URL(回源)","0","0","1","0","0"
"","域名流程测试","CDN客户控制台域名测试，从随机新增--停用--删除","0","0","1","0","0"
"","BS客户控制台,工单列表接口测试","域名与工单关联，已停用状态域名-查找停用工单","0","0","1","0","0"
"","VIP客户控制台诊断工具页接口测试","flowpacket/ListV3 接口3","0","0","1","0","0"
"","VIP客户控制台刷新预取页接口测试","CreateRefreshTask 刷多个目录","1","0","0","0","0"
"","VIP客户控制台,统计分析-用量查询接口测试"," dataList 接口1","0","0","10","0","0"
"","VIP客户控制台,统计分析-用量查询接口测试"," req_url 接口1","0","0","10","0","0"
"","CTYUN 客户控制台-证书模块","证书数量校对","0","1","0","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","静态加速产品下查询域名排行","0","1","0","0","0"
"","VIP客户控制台诊断工具页接口测试","flowpacket/ListV3 接口4","0","0","1","0","0"
"","VIP客户控制台,工单列表接口测试","工单类型查询工单","0","0","1","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","视频直播加速产品下查询热门URL(回源)","0","0","1","0","0"
"","VIP客户控制台,工单列表接口测试","权限域名列表接口 GetList","0","0","1","0","0"
"","CTYUN 客户控制台刷新预取页接口测试","CreateRefreshTask,刷新大量目录 ","0","1","0","0","0"
"","客户控制台v1接口统计分析接口测试","","0","0","1","5","0"
"","BS 客户控制台,统计分析-用量查询接口测试"," 天粒度，近30天的PV总量大于UV总量 ","0","0","0","1","0"
"","VIP客户控制台,统计分析-热门分析接口测试","视频直播加速产品下查询Referer","0","0","1","0","0"
"","VIP客户控制台诊断工具页接口测试","flowpacket/ListV3 查all","0","0","1","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","默认查询域名排行","0","1","0","0","0"
"","BS 客户控制台用户分析模块"," 单个域名查询用户运营商分析数据","0","0","1","0","0"
"","VIP客户控制台概览页接口测试","menu/GetTree接口1： CDN控制台域名相关按钮","0","0","1","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","查询7天的TOP客户端IP","0","0","1","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","默认查询热门Referer","0","0","1","0","0"
"","客户控制台v1接口域名接口测试"," domain/list ","0","0","1","0","0"
"","CTYUN 客户控制台,统计分析-用量查询接口测试"," missDataList 接口1","0","10","0","0","0"
"","CTYUN 客户控制台 用户用量查询接口测试"," 视频点播产品查询 用户省份分析数据","0","1","0","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","查询今天的热门URL","0","0","1","0","0"
"","CTYUN 客户控制台 用户用量查询接口测试"," 默认查询 用户省份分析数据","0","1","0","0","0"
"","VIP客户控制台-证书模块","证书数量校对","0","0","1","0","0"
"","客户控制台v1接口域名接口测试","已启用状态域名，不能删除域名","0","0","1","0","0"
"","VIP客户控制台概览页接口测试","menu/GetTree接口1: 工作区主页头像下拉菜单","0","0","1","0","0"
"","VIP客户控制台,工单列表接口测试","域名关联工单，在途域名在工单列表内","0","0","1","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","静态加速产品下查询热门Referer","0","1","0","0","0"
"","VIP客户控制台,工单列表接口测试","域名与工单关联，新增域名，查找新增工单","0","0","1","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","默认查询热门Referer","0","1","0","0","0"
"","VIP客户 用户用量查询 接口测试"," 下载加速产品查询 用户省份分析数据","0","0","1","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","查询今天的TOP客户端IP","0","0","1","0","0"
"","BS 客户控制台,统计分析-用量查询接口测试"," 天粒度，UV峰值/总量正确 ","0","0","0","1","0"
"","VIP客户控制台概览页接口测试","message/ListMessage接口2","0","0","1","0","0"
"","VIP客户 用户用量查询 接口测试"," 视频直播产品查询 用户省份分析数据","0","0","1","0","0"
"","CTYUN客户控制台,工单列表接口测试","域名与工单关联，新增域名，查找新增工单","0","1","0","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","状态码查询热门URL(回源)","0","1","0","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","状态码查询热门URL","0","1","0","0","0"
"","BS 客户控制台-证书模块","创建已有的证书","0","0","1","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","查询30天的TOP客户端IP","0","0","1","0","0"
"","CTYUN 客户控制台-证书模块","创建证书---查询---删除证书","1","0","0","0","0"
"","CTYUN 客户控制台刷新预取页接口测试","CreateRefreshTask 刷没有操作权限的URL","0","1","0","0","0"
"","BS 客户控制台诊断工具页接口测试","diagnose/IpCheck 接口2","1","0","0","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","下载加速产品下查询热门URL","0","0","1","0","0"
"","CTYUN 客户控制台 用户用量查询接口测试"," 视频直播产品查询 用户省份分析数据","0","1","0","0","0"
"","BS 客户控制台 计费详情页接口测试","flowpacket/ListV3 接口2","0","0","1","0","0"
"","客户控制台v1接口用户分析接口测试","","0","0","5","1","0"
"","BS 客户控制台用户分析模块"," 下载加速产品查询 用户运营商分析数据","0","0","1","0","0"
"","BS 客户控制台刷新预取页接口测试","CreateRefreshTask 接口2","2","0","0","0","0"
"","CTYUN客户控制台,工单列表接口测试","域名校验接口 Check","0","1","0","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","静态加速产品下查询热门URL(回源)","0","0","1","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","下载加速产品下查询域名排行","0","1","0","0","0"
"","VIP客户控制台刷新预取页接口测试","refresh/ListRefreshTask 接口2","1","0","0","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","访问次数维度查询热门URL","0","0","1","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","视频点播加速产品下查询热门URL(回源)","0","1","0","0","0"
"","BS 客户控制台用户分析模块"," 下载加速产品查询 用户省份分析数据","0","0","1","0","0"
"","VIP客户控制台,工单列表接口测试","域名校验接口 Check","0","0","1","0","0"
"","VIP客户控制台概览页接口测试","域名列表接口的关联与核对","0","0","1","0","0"
"","VIP客户控制台刷新预取页接口测试","refresh/ListRefreshTask 接口1","1","0","0","0","0"
"","CTYUN客户控制台,工单列表接口测试","通过域名查询工单","0","1","0","0","0"
"","BS 客户控制台刷新预取页接口测试","preload/ListPreloadTaskk 接口","1","0","0","0","0"
"","VIP客户控制台-证书模块","创建不存在的证书","0","0","1","0","0"
"","CTYUN 客户控制台概览页接口测试","menu接口，CDN控制台域名相关按钮","1","0","0","0","0"
"","CTYUN 客户控制台,统计分析-用量查询接口测试"," GetPvUv 接口1 单域名查询","0","1","0","0","0"
"","CTYUN 客户控制台,统计分析-用量查询接口测试"," GetPvUv 接口1 查询近7天的PV/UV","0","1","0","0","0"
"","VIP客户控制台,工单列表接口测试","域名与工单关联，停用域名-查找停用工单","0","0","1","0","0"
"","BS 客户控制台用户分析模块"," 静态加速产品查询 用户省份分析数据","0","0","1","0","0"
"","VIP客户控制台,工单列表接口测试","工单状态查询工单","0","0","1","0","0"
"","CTYUN 客户控制台刷新预取页接口测试","CreateRefreshTask 刷目录","0","1","0","0","0"
"","CTYUN客户控制台,工单列表接口测试","域名与工单关联，已停用状态域名-查找停用工单","0","1","0","0","0"
"","VIP客户 用户用量查询 接口测试"," 视频点播产品查询 用户运营商分析数据","0","0","1","0","0"
"","BS 客户控制台 计费详情页接口测试","flowpacket/ListV3 接口1","0","0","1","0","0"
"","VIP客户控制台诊断工具页接口测试","flowpacket/HistoryV3 接口","0","0","1","0","0"
"","CTYUN 客户控制台刷新预取页接口测试","CreateRefreshTask 接口2","0","2","0","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","静态加速产品下查询域名排行","0","0","1","0","0"
"","BS 客户控制台-证书模块","创建过期的证书","0","0","1","0","0"
"","CTYUN 客户控制台 用户用量查询接口测试"," 单个域名查询用户运营商分析数据","0","1","0","0","0"
"","CTYUN 客户控制台,统计分析-用量查询接口测试"," 小时粒度，PV峰值/总量正确 ","0","0","0","1","0"
"","BS客户控制台,统计分析-热门分析接口测试","视频点播加速产品下查询域名排行","0","0","1","0","0"
"","VIP客户 用户用量查询 接口测试"," 下载加速产品查询 用户运营商分析数据","0","0","1","0","0"
"","VIP客户控制台概览页接口测试","menu/GetTree接口1： 工作区主页头部下拉菜单2","0","0","1","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","静态加速产品下查询热门URL","0","1","0","0","0"
"","VIP客户控制台刷新预取页接口测试","CreateRefreshTask 接口2","1","1","0","0","0"
"","CTYUN 客户控制台 用户用量查询接口测试"," 视频直播产品查询 用户运营商分析数据","0","1","0","0","0"
"","CTYUN 客户控制台 用户用量查询接口测试"," 下载加速产品查询 用户省份分析数据","0","1","0","0","0"
"","VIP客户控制台,工单列表接口测试","查看工单详情","0","0","1","0","0"
"","CTYUN 客户控制台刷新预取页接口测试","CreateRefreshTask 刷泛域名目录","0","1","0","0","0"
"","BS客户控制台,工单列表接口测试","域名与工单关联，已启用状态域名-查找新增工单","0","0","1","0","0"
"","BS 客户控制台,统计分析-用量查询接口测试"," GetPvUv 接口1 查询近30天的PV/UV","0","0","1","0","0"
"","客户控制台v1接口域名接口测试","批量新增各个产品域名，包括账号下未开通的产品类型","0","0","5","0","0"
"","BS客户控制台,工单列表接口测试","域名校验接口 Check","0","0","1","0","0"
"","BS 客户控制台概览页接口测试","productV3接口,注意，这里依赖业务平台，切表之后会没数据","0","0","1","0","0"
"","VIP客户控制台刷新预取页接口测试","domain/CheckPrivilege 刷不存在的URL","0","0","1","0","0"
"","VIP客户控制台刷新预取页接口测试","CreateRefreshTask 接口","1","0","0","0","0"
"","客户控制台v1接口域名接口测试","域名新增-配置失败-重新发起-配置成功-域名启用","0","0","1","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","下载加速产品下查询热门Referer","0","0","1","0","0"
"","VIP客户 用户用量查询 接口测试"," 默认查询 用户省份分析数据","0","0","1","0","0"
"","BS 客户控制台刷新预取页接口测试","CreateRefreshTask 刷没有操作权限的目录","0","0","1","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","访问次数维度查询热门URL(回源)","0","0","1","0","0"
"","BS 客户控制台用户分析模块"," 默认查询 用户省份分析数据","0","0","1","0","0"
"","客户控制台v1接口域名接口测试","域名新增-配置成功-域名启用-编辑-配置成功-域名启用","1","0","0","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","静态加速产品下查询域名排行","0","0","1","0","0"
"","BS 客户控制台 计费详情页接口测试","flowpacket/ListV3 接口3","0","0","1","0","0"
"","VIP客户控制台,统计分析-用量查询接口测试"," GetPvUv 接口1 单域名查询","0","0","1","0","0"
"","CTYUN 客户控制台概览页接口测试","message/ListMessage接口1","1","0","0","0","0"
"","VIP客户控制台,工单列表接口测试","工单列表接口 ListOrder","0","0","1","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","访问次数维度查询热门Referer","0","0","1","0","0"
"","VIP客户控制台概览页接口测试","menu接口，CDN控制台域名相关按钮","0","0","1","0","0"
"","VIP客户控制台-证书模块","创建已有的证书","0","0","1","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","静态加速产品下查询热门URL(回源)","0","0","1","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","静态加速产品下查询TOP客户端IP","0","0","1","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","查询今天的域名排行","0","0","1","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","查询7天的域名排行","0","0","1","0","0"
"","BS 客户控制台,统计分析-用量查询接口测试"," GetPvUv 接口1 查询昨天的PV/UV","0","0","1","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","视频点播加速产品下查询TOP客户端IP","0","1","0","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","视频点播加速产品下查询域名排行","0","0","1","0","0"
"","BS 客户控制台刷新预取页接口测试","domain/CheckPrivilege 刷不存在的URL","0","0","1","0","0"
"","BS客户控制台,工单列表接口测试","工单列表接口 ListOrder","0","0","1","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","视频点播加速产品下查询热门URL","0","0","1","0","0"
"","VIP客户控制台概览页接口测试","cert/CertList接口","0","0","1","0","0"
"","BS 客户控制台用户分析模块"," 视频点播产品查询 用户省份分析数据","0","0","1","0","0"
"","CTYUN客户控制台-域名管理模块","CDN客户控制台域名测试，只是新增","0","0","0","1","0"
"","CTYUN 客户控制台-证书模块","证书创建成功","1","0","0","0","0"
"","BS 客户控制台,统计分析-用量查询接口测试"," GetPvUv 接口1 单域名查询","0","0","1","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","访问次数维度查询热门URL(回源)","0","1","0","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","视频直播加速产品下查询TOP客户端IP","0","0","1","0","0"
"","CTYUN客户控制台,工单列表接口测试","工单状态查询工单","0","1","0","0","0"
