"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 27 15:14:52 CST 2020","Fri Nov 27 15:14:53 CST 2020","782","testcases.cdn.bs_console","test_bs_refresh","Test_Bs_Refresh","","","test_CDN_243735",""
"broken","Fri Nov 27 15:15:11 CST 2020","Fri Nov 27 15:15:11 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_user","Test_Ctyun_Log_dataList","","","test_CDN_246235",""
"passed","Fri Nov 27 15:19:59 CST 2020","Fri Nov 27 15:20:00 CST 2020","1098","testcases.cdn.vip_console","test_vip_order","Test_Vip_Order","","","test_CDN_260911",""
"broken","Fri Nov 27 15:15:11 CST 2020","Fri Nov 27 15:15:11 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251657",""
"passed","Fri Nov 27 15:19:37 CST 2020","Fri Nov 27 15:19:37 CST 2020","281","testcases.cdn.vip_console","test_vip_log_top","Test_Vip_Top","","","test_CDN_249280",""
"passed","Fri Nov 27 15:18:37 CST 2020","Fri Nov 27 15:18:38 CST 2020","708","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242452",""
"broken","Fri Nov 27 15:15:09 CST 2020","Fri Nov 27 15:15:09 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_246249",""
"passed","Fri Nov 27 15:14:15 CST 2020","Fri Nov 27 15:14:15 CST 2020","461","testcases.cdn.bs_console","test_bs_log_top","Test_Bs_Top","","","test_CDN_251577",""
"broken","Fri Nov 27 15:15:06 CST 2020","Fri Nov 27 15:15:06 CST 2020","48","testcases.cdn.ctyun_console","test_ctyun_billing","Test_Ctyun_Billing","","","test_CDN_246452",""
"failed","Fri Nov 27 15:15:06 CST 2020","Fri Nov 27 15:15:06 CST 2020","47","testcases.cdn.ctyun_console","test_ctyun_billing","Test_Ctyun_Billing","","","test_CDN_246290",""
"passed","Fri Nov 27 15:13:42 CST 2020","Fri Nov 27 15:13:42 CST 2020","449","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_243707",""
"passed","Fri Nov 27 15:18:48 CST 2020","Fri Nov 27 15:18:48 CST 2020","687","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242528",""
"broken","Fri Nov 27 15:15:09 CST 2020","Fri Nov 27 15:15:09 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_246261",""
"passed","Fri Nov 27 15:14:22 CST 2020","Fri Nov 27 15:14:23 CST 2020","478","testcases.cdn.bs_console","test_bs_log_top","Test_Bs_Top","","","test_CDN_251598",""
"skipped","Fri Nov 27 15:15:15 CST 2020","Fri Nov 27 15:15:15 CST 2020","0","testcases.cdn.v1","test_v1_case","TestCase","","","test_CDN_241166",""
"passed","Fri Nov 27 15:19:41 CST 2020","Fri Nov 27 15:19:41 CST 2020","292","testcases.cdn.vip_console","test_vip_log_top","Test_Vip_Top","","","test_CDN_249289",""
"passed","Fri Nov 27 15:13:12 CST 2020","Fri Nov 27 15:13:12 CST 2020","62","testcases.cdn.bs_console","test_bs_billing","Test_BS_Billing","","","test_CDN_243728",""
"passed","Fri Nov 27 15:19:49 CST 2020","Fri Nov 27 15:19:49 CST 2020","665","testcases.cdn.vip_console","test_vip_log_user","Test_Vip_Log_dataList","","","test_CDN_242518",""
"passed","Fri Nov 27 15:19:31 CST 2020","Fri Nov 27 15:19:32 CST 2020","279","testcases.cdn.vip_console","test_vip_log_top","Test_Vip_Top","","","test_CDN_249263",""
"broken","Fri Nov 27 15:15:12 CST 2020","Fri Nov 27 15:15:12 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_user","Test_Ctyun_Log_dataList","","","test_CDN_246228",""
"skipped","Fri Nov 27 15:15:10 CST 2020","Fri Nov 27 15:15:10 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_270976",""
"broken","Fri Nov 27 15:15:09 CST 2020","Fri Nov 27 15:15:09 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_246267",""
"broken","Fri Nov 27 15:15:09 CST 2020","Fri Nov 27 15:15:09 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_246260",""
"passed","Fri Nov 27 15:17:03 CST 2020","Fri Nov 27 15:17:04 CST 2020","882","testcases.cdn.vip_console","test_vip_cert","Test_cert","","","test_CDN_240893",""
"passed","Fri Nov 27 15:18:21 CST 2020","Fri Nov 27 15:18:22 CST 2020","522","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242408",""
"broken","Fri Nov 27 15:15:10 CST 2020","Fri Nov 27 15:15:10 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_246277",""
"passed","Fri Nov 27 15:18:47 CST 2020","Fri Nov 27 15:18:48 CST 2020","533","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242527",""
"skipped","Fri Nov 27 15:16:56 CST 2020","Fri Nov 27 15:16:56 CST 2020","0","testcases.cdn.v1","test_v1_statistics","TestStatistics","","","test_CDN_241493",""
"broken","Fri Nov 27 15:15:09 CST 2020","Fri Nov 27 15:15:09 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_246269",""
"failed","Fri Nov 27 15:15:12 CST 2020","Fri Nov 27 15:15:12 CST 2020","96","testcases.cdn.ctyun_console","test_ctyun_overview","Test_Ctyun_Overview","","","test_CDN_246304",""
"passed","Fri Nov 27 15:19:40 CST 2020","Fri Nov 27 15:19:40 CST 2020","287","testcases.cdn.vip_console","test_vip_log_top","Test_Vip_Top","","","test_CDN_249287",""
"passed","Fri Nov 27 15:13:26 CST 2020","Fri Nov 27 15:13:27 CST 2020","544","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_243680",""
"broken","Fri Nov 27 15:15:13 CST 2020","Fri Nov 27 15:15:13 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_refresh","Test_Ctyun_Refresh","","","test_CDN_246209",""
"broken","Fri Nov 27 15:15:11 CST 2020","Fri Nov 27 15:15:11 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251654",""
"passed","Fri Nov 27 15:14:16 CST 2020","Fri Nov 27 15:14:16 CST 2020","171","testcases.cdn.bs_console","test_bs_log_top","Test_Bs_Top","","","test_CDN_251580",""
"broken","Fri Nov 27 15:15:13 CST 2020","Fri Nov 27 15:15:13 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_refresh","Test_Ctyun_Refresh","","","test_CDN_246205",""
"broken","Fri Nov 27 15:15:11 CST 2020","Fri Nov 27 15:15:11 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251634",""
"skipped","Fri Nov 27 15:19:06 CST 2020","Fri Nov 27 15:19:06 CST 2020","0","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_270742",""
"failed","Fri Nov 27 15:15:13 CST 2020","Fri Nov 27 15:15:13 CST 2020","50","testcases.cdn.ctyun_console","test_ctyun_overview","Test_Ctyun_Overview","","","test_CDN_246301",""
"passed","Fri Nov 27 15:14:25 CST 2020","Fri Nov 27 15:14:25 CST 2020","401","testcases.cdn.bs_console","test_bs_log_top","Test_Bs_Top","","","test_CDN_251605",""
"failed","Fri Nov 27 15:20:23 CST 2020","Fri Nov 27 15:20:23 CST 2020","117","testcases.cdn.vip_console","test_vip_refresh","Test_Vip_Refresh","","","test_CDN_241650",""
"failed","Fri Nov 27 15:20:29 CST 2020","Fri Nov 27 15:20:29 CST 2020","519","testcases.cdn.vip_console","test_vip_tools","Test_Vip_Tools","","","test_CDN_240674",""
"passed","Fri Nov 27 15:19:04 CST 2020","Fri Nov 27 15:19:06 CST 2020","1602","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_265361",""
"passed","Fri Nov 27 15:14:34 CST 2020","Fri Nov 27 15:14:34 CST 2020","561","testcases.cdn.bs_console","test_bs_log_user","Test_BS_Log_dataList","","","test_CDN_243663",""
"failed","Fri Nov 27 15:15:02 CST 2020","Fri Nov 27 15:15:02 CST 2020","257","testcases.cdn.bs_console","test_bs_refresh","Test_Bs_Refresh","","","test_CDN_243742",""
"passed","Fri Nov 27 15:14:49 CST 2020","Fri Nov 27 15:14:49 CST 2020","410","testcases.cdn.bs_console","test_bs_overview","Test_BS_Overview","","","test_CDN_243756",""
"passed","Fri Nov 27 15:16:46 CST 2020","Fri Nov 27 15:16:49 CST 2020","2896","testcases.cdn.v1","test_v1_domain","TestDomain","","","test_CDN_262424[004-服务调用成功]",""
"failed","Fri Nov 27 15:15:01 CST 2020","Fri Nov 27 15:15:02 CST 2020","342","testcases.cdn.bs_console","test_bs_refresh","Test_Bs_Refresh","","","test_CDN_243741",""
"passed","Fri Nov 27 15:13:41 CST 2020","Fri Nov 27 15:13:41 CST 2020","514","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_243705",""
"passed","Fri Nov 27 15:15:14 CST 2020","Fri Nov 27 15:15:15 CST 2020","553","testcases.cdn.v1","test_v1_case","TestCase","","","test_CDN_241165",""
"broken","Fri Nov 27 15:15:09 CST 2020","Fri Nov 27 15:15:09 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_246259",""
"passed","Fri Nov 27 15:14:48 CST 2020","Fri Nov 27 15:14:48 CST 2020","291","testcases.cdn.bs_console","test_bs_overview","Test_BS_Overview","","","test_CDN_244502",""
"passed","Fri Nov 27 15:13:39 CST 2020","Fri Nov 27 15:13:39 CST 2020","442","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_243702",""
"broken","Fri Nov 27 15:15:11 CST 2020","Fri Nov 27 15:15:11 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251633",""
"broken","Fri Nov 27 15:15:11 CST 2020","Fri Nov 27 15:15:11 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251636",""
"passed","Fri Nov 27 15:14:20 CST 2020","Fri Nov 27 15:14:20 CST 2020","459","testcases.cdn.bs_console","test_bs_log_top","Test_Bs_Top","","","test_CDN_251592",""
"broken","Fri Nov 27 15:20:03 CST 2020","Fri Nov 27 15:20:03 CST 2020","206","testcases.cdn.vip_console","test_vip_overview","Test_Vip_Overview","","","test_CDN_240848",""
"passed","Fri Nov 27 15:14:19 CST 2020","Fri Nov 27 15:14:19 CST 2020","161","testcases.cdn.bs_console","test_bs_log_top","Test_Bs_Top","","","test_CDN_251589",""
"broken","Fri Nov 27 15:15:10 CST 2020","Fri Nov 27 15:15:10 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251628",""
"passed","Fri Nov 27 15:13:39 CST 2020","Fri Nov 27 15:13:40 CST 2020","527","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_243703",""
"passed","Fri Nov 27 15:13:44 CST 2020","Fri Nov 27 15:13:44 CST 2020","585","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_243711",""
"passed","Fri Nov 27 15:13:30 CST 2020","Fri Nov 27 15:13:30 CST 2020","695","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_243685",""
"broken","Fri Nov 27 15:15:10 CST 2020","Fri Nov 27 15:15:10 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251629",""
"passed","Fri Nov 27 15:13:18 CST 2020","Fri Nov 27 15:13:19 CST 2020","386","testcases.cdn.bs_console","test_bs_cert","Test_BS_cert","","","test_CDN_260850","
        核对证书管理页面证书数量与概览页证书数量一致，关联到2个CertList接口，url一样，请求方式及请求数据不同
        :return:
        "
"broken","Fri Nov 27 15:15:11 CST 2020","Fri Nov 27 15:15:11 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251640",""
"passed","Fri Nov 27 15:13:45 CST 2020","Fri Nov 27 15:13:46 CST 2020","486","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_243714",""
"broken","Fri Nov 27 15:15:11 CST 2020","Fri Nov 27 15:15:11 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251637",""
"skipped","Fri Nov 27 15:15:08 CST 2020","Fri Nov 27 15:15:08 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_domain","TestDomain","","","test_CDN_240819",""
"passed","Fri Nov 27 15:19:39 CST 2020","Fri Nov 27 15:19:40 CST 2020","588","testcases.cdn.vip_console","test_vip_log_top","Test_Vip_Top","","","test_CDN_249284",""
"passed","Fri Nov 27 15:17:00 CST 2020","Fri Nov 27 15:17:03 CST 2020","3377","testcases.cdn.vip_console","test_vip_cert","Test_cert","","","test_CDN_240676",""
"passed","Fri Nov 27 15:18:52 CST 2020","Fri Nov 27 15:18:53 CST 2020","1554","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242705",""
"broken","Fri Nov 27 15:15:11 CST 2020","Fri Nov 27 15:15:11 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251650",""
"broken","Fri Nov 27 15:15:14 CST 2020","Fri Nov 27 15:15:14 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_refresh","Test_Ctyun_Refresh","","","test_CDN_246218",""
"passed","Fri Nov 27 15:20:04 CST 2020","Fri Nov 27 15:20:05 CST 2020","259","testcases.cdn.vip_console","test_vip_overview","Test_Vip_Overview","","","test_CDN_240852",""
"passed","Fri Nov 27 15:18:45 CST 2020","Fri Nov 27 15:18:45 CST 2020","641","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242523",""
"passed","Fri Nov 27 15:14:41 CST 2020","Fri Nov 27 15:14:41 CST 2020","170","testcases.cdn.bs_console","test_bs_order","Test_Bs_Order","","","test_CDN_260751",""
"passed","Fri Nov 27 15:14:23 CST 2020","Fri Nov 27 15:14:23 CST 2020","208","testcases.cdn.bs_console","test_bs_log_top","Test_Bs_Top","","","test_CDN_251599",""
"passed","Fri Nov 27 15:14:47 CST 2020","Fri Nov 27 15:14:48 CST 2020","1045","testcases.cdn.bs_console","test_bs_overview","Test_BS_Overview","","","test_CDN_243753",""
"passed","Fri Nov 27 15:18:31 CST 2020","Fri Nov 27 15:18:32 CST 2020","570","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242434",""
"passed","Fri Nov 27 15:20:06 CST 2020","Fri Nov 27 15:20:06 CST 2020","168","testcases.cdn.vip_console","test_vip_overview","Test_Vip_Overview","","","test_CDN_244511",""
"passed","Fri Nov 27 15:13:47 CST 2020","Fri Nov 27 15:13:48 CST 2020","592","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_243718",""
"passed","Fri Nov 27 15:14:32 CST 2020","Fri Nov 27 15:14:32 CST 2020","663","testcases.cdn.bs_console","test_bs_log_user","Test_BS_Log_dataList","","","test_CDN_243660",""
"broken","Fri Nov 27 15:15:11 CST 2020","Fri Nov 27 15:15:11 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251651",""
"passed","Fri Nov 27 15:19:37 CST 2020","Fri Nov 27 15:19:38 CST 2020","274","testcases.cdn.vip_console","test_vip_log_top","Test_Vip_Top","","","test_CDN_249281",""
"passed","Fri Nov 27 15:18:53 CST 2020","Fri Nov 27 15:18:55 CST 2020","1828","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242706",""
"passed","Fri Nov 27 15:19:46 CST 2020","Fri Nov 27 15:19:47 CST 2020","834","testcases.cdn.vip_console","test_vip_log_user","Test_Vip_Log_dataList","","","test_CDN_242521",""
"passed","Fri Nov 27 15:19:22 CST 2020","Fri Nov 27 15:19:23 CST 2020","634","testcases.cdn.vip_console","test_vip_log_top","Test_Vip_Top","","","test_CDN_248713",""
"broken","Fri Nov 27 15:15:10 CST 2020","Fri Nov 27 15:15:10 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_246284",""
"passed","Fri Nov 27 15:14:27 CST 2020","Fri Nov 27 15:14:27 CST 2020","422","testcases.cdn.bs_console","test_bs_log_top","Test_Bs_Top","","","test_CDN_251611",""
"passed","Fri Nov 27 15:13:59 CST 2020","Fri Nov 27 15:14:00 CST 2020","976","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_265368",""
"skipped","Fri Nov 27 15:14:01 CST 2020","Fri Nov 27 15:14:01 CST 2020","0","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_270979",""
"passed","Fri Nov 27 15:19:26 CST 2020","Fri Nov 27 15:19:26 CST 2020","592","testcases.cdn.vip_console","test_vip_log_top","Test_Vip_Top","","","test_CDN_249251",""
"broken","Fri Nov 27 15:15:09 CST 2020","Fri Nov 27 15:15:09 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_246243",""
"passed","Fri Nov 27 15:16:56 CST 2020","Fri Nov 27 15:16:56 CST 2020","534","testcases.cdn.v1","test_v1_domain","TestDomain","","","test_CDN_241169",""
"skipped","Fri Nov 27 15:19:06 CST 2020","Fri Nov 27 15:19:06 CST 2020","0","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_270741",""
"broken","Fri Nov 27 15:15:11 CST 2020","Fri Nov 27 15:15:11 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251659",""
"passed","Fri Nov 27 15:18:21 CST 2020","Fri Nov 27 15:18:21 CST 2020","636","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242406",""
"failed","Fri Nov 27 15:15:12 CST 2020","Fri Nov 27 15:15:12 CST 2020","48","testcases.cdn.ctyun_console","test_ctyun_overview","Test_Ctyun_Overview","","","test_CDN_246296",""
"broken","Fri Nov 27 15:15:12 CST 2020","Fri Nov 27 15:15:12 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_user","Test_Ctyun_Log_dataList","","","test_CDN_246230",""
"passed","Fri Nov 27 15:14:46 CST 2020","Fri Nov 27 15:14:47 CST 2020","128","testcases.cdn.bs_console","test_bs_overview","Test_BS_Overview","","","test_CDN_243752",""
"passed","Fri Nov 27 15:18:44 CST 2020","Fri Nov 27 15:18:45 CST 2020","607","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242522",""
"passed","Fri Nov 27 15:14:49 CST 2020","Fri Nov 27 15:14:50 CST 2020","960","testcases.cdn.bs_console","test_bs_overview","Test_BS_Overview","","","test_CDN_259933","
        1. 校对c_data ,c_domain下的域名数量 （domain代表用户可访问的域名数量，data代表用户进行统计分析操作的域名数量）
        2. 校对域名管理页面的域名数量等同于1里面统计的域名数量
        :return:
        "
"failed","Fri Nov 27 15:15:06 CST 2020","Fri Nov 27 15:15:06 CST 2020","49","testcases.cdn.ctyun_console","test_ctyun_billing","Test_Ctyun_Billing","","","test_CDN_246294",""
"passed","Fri Nov 27 15:19:29 CST 2020","Fri Nov 27 15:19:29 CST 2020","278","testcases.cdn.vip_console","test_vip_log_top","Test_Vip_Top","","","test_CDN_249257",""
"passed","Fri Nov 27 15:18:50 CST 2020","Fri Nov 27 15:18:50 CST 2020","661","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242531",""
"failed","Fri Nov 27 15:20:23 CST 2020","Fri Nov 27 15:20:23 CST 2020","440","testcases.cdn.vip_console","test_vip_refresh","Test_Vip_Refresh","","","test_CDN_240870",""
"passed","Fri Nov 27 15:13:26 CST 2020","Fri Nov 27 15:13:26 CST 2020","597","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_243679",""
"passed","Fri Nov 27 15:18:25 CST 2020","Fri Nov 27 15:18:25 CST 2020","678","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242418",""
"passed","Fri Nov 27 15:14:26 CST 2020","Fri Nov 27 15:14:26 CST 2020","465","testcases.cdn.bs_console","test_bs_log_top","Test_Bs_Top","","","test_CDN_251609",""
"failed","Fri Nov 27 15:15:12 CST 2020","Fri Nov 27 15:15:12 CST 2020","48","testcases.cdn.ctyun_console","test_ctyun_overview","Test_Ctyun_Overview","","","test_CDN_246297",""
"passed","Fri Nov 27 15:14:17 CST 2020","Fri Nov 27 15:14:17 CST 2020","462","testcases.cdn.bs_console","test_bs_log_top","Test_Bs_Top","","","test_CDN_251583",""
"broken","Fri Nov 27 15:15:09 CST 2020","Fri Nov 27 15:15:09 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_246248",""
"passed","Fri Nov 27 15:13:46 CST 2020","Fri Nov 27 15:13:47 CST 2020","528","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_243716",""
"broken","Fri Nov 27 15:15:09 CST 2020","Fri Nov 27 15:15:09 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_246270",""
"broken","Fri Nov 27 15:15:12 CST 2020","Fri Nov 27 15:15:12 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_order","Test_Ctyun_Order","","","test_CDN_260759",""
"skipped","Fri Nov 27 15:14:01 CST 2020","Fri Nov 27 15:14:01 CST 2020","0","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_270981",""
"passed","Fri Nov 27 15:20:28 CST 2020","Fri Nov 27 15:20:29 CST 2020","817","testcases.cdn.vip_console","test_vip_tools","Test_Vip_Tools","","","test_CDN_240675",""
"broken","Fri Nov 27 15:15:10 CST 2020","Fri Nov 27 15:15:10 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251620",""
"passed","Fri Nov 27 15:16:38 CST 2020","Fri Nov 27 15:16:40 CST 2020","1678","testcases.cdn.v1","test_v1_domain","TestDomain","","","test_CDN_264344",""
"passed","Fri Nov 27 15:13:14 CST 2020","Fri Nov 27 15:13:17 CST 2020","3194","testcases.cdn.bs_console","test_bs_cert","Test_BS_cert","","","test_CDN_243771",""
"failed","Fri Nov 27 15:14:51 CST 2020","Fri Nov 27 15:14:52 CST 2020","287","testcases.cdn.bs_console","test_bs_refresh","Test_Bs_Refresh","","","test_CDN_243732",""
"passed","Fri Nov 27 15:20:24 CST 2020","Fri Nov 27 15:20:27 CST 2020","3639","testcases.cdn.vip_console","test_vip_refresh","Test_Vip_Refresh","","","test_CDN_240872",""
"passed","Fri Nov 27 15:14:38 CST 2020","Fri Nov 27 15:14:39 CST 2020","553","testcases.cdn.bs_console","test_bs_log_user","Test_BS_Log_dataList","","","test_CDN_243671",""
"broken","Fri Nov 27 15:15:09 CST 2020","Fri Nov 27 15:15:09 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_246250",""
"passed","Fri Nov 27 15:16:53 CST 2020","Fri Nov 27 15:16:55 CST 2020","1750","testcases.cdn.v1","test_v1_domain","TestDomain","","","test_CDN_241508",""
"passed","Fri Nov 27 15:15:22 CST 2020","Fri Nov 27 15:15:23 CST 2020","499","testcases.cdn.v1","test_v1_cert","TestCert","","","test_CDN_241175",""
"passed","Fri Nov 27 15:14:40 CST 2020","Fri Nov 27 15:14:40 CST 2020","191","testcases.cdn.bs_console","test_bs_order","Test_Bs_Order","","","test_CDN_260748",""
"passed","Fri Nov 27 15:14:41 CST 2020","Fri Nov 27 15:14:41 CST 2020","126","testcases.cdn.bs_console","test_bs_order","Test_Bs_Order","","","test_CDN_260755",""
"passed","Fri Nov 27 15:14:40 CST 2020","Fri Nov 27 15:14:41 CST 2020","210","testcases.cdn.bs_console","test_bs_order","Test_Bs_Order","","","test_CDN_260754",""
"passed","Fri Nov 27 15:18:23 CST 2020","Fri Nov 27 15:18:24 CST 2020","725","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242414",""
"passed","Fri Nov 27 15:13:46 CST 2020","Fri Nov 27 15:13:46 CST 2020","584","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_243715",""
"broken","Fri Nov 27 15:15:10 CST 2020","Fri Nov 27 15:15:10 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_265361",""
"skipped","Fri Nov 27 15:16:53 CST 2020","Fri Nov 27 15:16:53 CST 2020","0","testcases.cdn.v1","test_v1_domain","TestDomain","","","test_CDN_240684",""
"passed","Fri Nov 27 15:19:28 CST 2020","Fri Nov 27 15:19:28 CST 2020","600","testcases.cdn.vip_console","test_vip_log_top","Test_Vip_Top","","","test_CDN_249255",""
"passed","Fri Nov 27 15:19:38 CST 2020","Fri Nov 27 15:19:39 CST 2020","571","testcases.cdn.vip_console","test_vip_log_top","Test_Vip_Top","","","test_CDN_249283",""
"passed","Fri Nov 27 15:20:04 CST 2020","Fri Nov 27 15:20:04 CST 2020","463","testcases.cdn.vip_console","test_vip_overview","Test_Vip_Overview","","","test_CDN_240849",""
"passed","Fri Nov 27 15:18:38 CST 2020","Fri Nov 27 15:18:38 CST 2020","582","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242454",""
